# Table: Deadline
id,dueDate
67,"Task description 67"
68,"Task description 68"
69,"Task description 69"
70,"Task description 70"
71,"Task description 71"
72,"Task description 72"
73,"Task description 73"
74,"Task description 74"
75,"Task description 75"
76,"Task description 76"
77,"Task description 77"
78,"Task description 78"
79,"Task description 79"
80,"Task description 80"
81,"Task description 81"
82,"Task description 82"
83,"Task description 83"
84,"Task description 84"
85,"Task description 85"
86,"Task description 86"
87,"Task description 87"
88,"Task description 88"
89,"Task description 89"
90,"Task description 90"
91,"Task description 91"
92,"Task description 92"
93,"Task description 93"
94,"Task description 94"
95,"Task description 95"
96,"Task description 96"
97,"Task description 97"
98,"Task description 98"
99,"Task description 99"
100,"Task description 100"
101,"Task description 101"
102,"Task description 102"
103,"Task description 103"
104,"Task description 104"
105,"Task description 105"
106,"Task description 106"
107,"Task description 107"
108,"Task description 108"
109,"Task description 109"
110,"Task description 110"
111,"Task description 111"
112,"Task description 112"
113,"Task description 113"
114,"Task description 114"
115,"Task description 115"
116,"Task description 116"
117,"Task description 117"
118,"Task description 118"
119,"Task description 119"
120,"Task description 120"
121,"Task description 121"
122,"Task description 122"
123,"Task description 123"
124,"Task description 124"
125,"Task description 125"
126,"Task description 126"
127,"Task description 127"
128,"Task description 128"
129,"Task description 129"
130,"Task description 130"
131,"Task description 131"
132,"Task description 132"
133,"Task description 133"
134,"Task description 134"
135,"Task description 135"
136,"Task description 136"
137,"Task description 137"
138,"Task description 138"
139,"Task description 139"
140,"Task description 140"
141,"Task description 141"
142,"Task description 142"
143,"Task description 143"
144,"Task description 144"
145,"Task description 145"
146,"Task description 146"
147,"Task description 147"
148,"Task description 148"
149,"Task description 149"
150,"Task description 150"

# Table: Week
id,description,topic,tasks
1,"Week 1 description","Topic 1","Task list 1"
2,"Week 2 description","Topic 2","Task list 2"
3,"Week 3 description","Topic 3","Task list 3"
4,"Week 4 description","Topic 4","Task list 4"
5,"Week 5 description","Topic 5","Task list 5"
6,"Week 6 description","Topic 6","Task list 6"
7,"Week 7 description","Topic 7","Task list 7"
8,"Week 8 description","Topic 8","Task list 8"
9,"Week 9 description","Topic 9","Task list 9"
10,"Week 10 description","Topic 10","Task list 10"
11,"Week 11 description","Topic 11","Task list 11"
12,"Week 12 description","Topic 12","Task list 12"
13,"Week 13 description","Topic 13","Task list 13"
14,"Week 14 description","Topic 14","Task list 14"
15,"Week 15 description","Topic 15","Task list 15"
16,"Week 16 description","Topic 16","Task list 16"
17,"Week 17 description","Topic 17","Task list 17"
18,"Week 18 description","Topic 18","Task list 18"
19,"Week 19 description","Topic 19","Task list 19"
20,"Week 20 description","Topic 20","Task list 20"
21,"Week 21 description","Topic 21","Task list 21"
22,"Week 22 description","Topic 22","Task list 22"
23,"Week 23 description","Topic 23","Task list 23"
24,"Week 24 description","Topic 24","Task list 24"
25,"Week 25 description","Topic 25","Task list 25"
26,"Week 26 description","Topic 26","Task list 26"
27,"Week 27 description","Topic 27","Task list 27"
28,"Week 28 description","Topic 28","Task list 28"
29,"Week 29 description","Topic 29","Task list 29"
30,"Week 30 description","Topic 30","Task list 30"
31,"Week 31 description","Topic 31","Task list 31"
32,"Week 32 description","Topic 32","Task list 32"
33,"Week 33 description","Topic 33","Task list 33"
34,"Week 34 description","Topic 34","Task list 34"
35,"Week 35 description","Topic 35","Task list 35"
36,"Week 36 description","Topic 36","Task list 36"
37,"Week 37 description","Topic 37","Task list 37"
38,"Week 38 description","Topic 38","Task list 38"
39,"Week 39 description","Topic 39","Task list 39"
40,"Week 40 description","Topic 40","Task list 40"
41,"Week 41 description","Topic 41","Task list 41"
42,"Week 42 description","Topic 42","Task list 42"
43,"Week 43 description","Topic 43","Task list 43"
44,"Week 44 description","Topic 44","Task list 44"
45,"Week 45 description","Topic 45","Task list 45"
46,"Week 46 description","Topic 46","Task list 46"
47,"Week 47 description","Topic 47","Task list 47"
48,"Week 48 description","Topic 48","Task list 48"
49,"Week 49 description","Topic 49","Task list 49"
50,"Week 50 description","Topic 50","Task list 50"
51,"Week 51 description","Topic 51","Task list 51"
52,"Week 52 description","Topic 52","Task list 52"
53,"Week 53 description","Topic 53","Task list 53"
54,"Week 54 description","Topic 54","Task list 54"
55,"Week 55 description","Topic 55","Task list 55"
56,"Week 56 description","Topic 56","Task list 56"
57,"Week 57 description","Topic 57","Task list 57"
58,"Week 58 description","Topic 58","Task list 58"
59,"Week 59 description","Topic 59","Task list 59"
60,"Week 60 description","Topic 60","Task list 60"
61,"Week 61 description","Topic 61","Task list 61"
62,"Week 62 description","Topic 62","Task list 62"
63,"Week 63 description","Topic 63","Task list 63"
64,"Week 64 description","Topic 64","Task list 64"
65,"Week 65 description","Topic 65","Task list 65"
66,"Week 66 description","Topic 66","Task list 66"
67,"Week 67 description","Topic 67","Task list 67"
68,"Week 68 description","Topic 68","Task list 68"
69,"Week 69 description","Topic 69","Task list 69"
70,"Week 70 description","Topic 70","Task list 70"
71,"Week 71 description","Topic 71","Task list 71"
72,"Week 72 description","Topic 72","Task list 72"
73,"Week 73 description","Topic 73","Task list 73"
74,"Week 74 description","Topic 74","Task list 74"
75,"Week 75 description","Topic 75","Task list 75"
76,"Week 76 description","Topic 76","Task list 76"
77,"Week 77 description","Topic 77","Task list 77"
78,"Week 78 description","Topic 78","Task list 78"
79,"Week 79 description","Topic 79","Task list 79"
80,"Week 80 description","Topic 80","Task list 80"
81,"Week 81 description","Topic 81","Task list 81"
82,"Week 82 description","Topic 82","Task list 82"
83,"Week 83 description","Topic 83","Task list 83"
84,"Week 84 description","Topic 84","Task list 84"
85,"Week 85 description","Topic 85","Task list 85"
86,"Week 86 description","Topic 86","Task list 86"
87,"Week 87 description","Topic 87","Task list 87"
88,"Week 88 description","Topic 88","Task list 88"
89,"Week 89 description","Topic 89","Task list 89"
90,"Week 90 description","Topic 90","Task list 90"
91,"Week 91 description","Topic 91","Task list 91"
92,"Week 92 description","Topic 92","Task list 92"
93,"Week 93 description","Topic 93","Task list 93"
94,"Week 94 description","Topic 94","Task list 94"
95,"Week 95 description","Topic 95","Task list 95"
96,"Week 96 description","Topic 96","Task list 96"
97,"Week 97 description","Topic 97","Task list 97"
98,"Week 98 description","Topic 98","Task list 98"
99,"Week 99 description","Topic 99","Task list 99"
100,"Week 100 description","Topic 100","Task list 100"
101,"Week 101 description","Topic 101","Task list 101"
102,"Week 102 description","Topic 102","Task list 102"
103,"Week 103 description","Topic 103","Task list 103"
104,"Week 104 description","Topic 104","Task list 104"
105,"Week 105 description","Topic 105","Task list 105"
106,"Week 106 description","Topic 106","Task list 106"
107,"Week 107 description","Topic 107","Task list 107"
108,"Week 108 description","Topic 108","Task list 108"
109,"Week 109 description","Topic 109","Task list 109"
110,"Week 110 description","Topic 110","Task list 110"
111,"Week 111 description","Topic 111","Task list 111"
112,"Week 112 description","Topic 112","Task list 112"
113,"Week 113 description","Topic 113","Task list 113"
114,"Week 114 description","Topic 114","Task list 114"
115,"Week 115 description","Topic 115","Task list 115"
116,"Week 116 description","Topic 116","Task list 116"
117,"Week 117 description","Topic 117","Task list 117"
118,"Week 118 description","Topic 118","Task list 118"
119,"Week 119 description","Topic 119","Task list 119"
120,"Week 120 description","Topic 120","Task list 120"
121,"Week 121 description","Topic 121","Task list 121"
122,"Week 122 description","Topic 122","Task list 122"
123,"Week 123 description","Topic 123","Task list 123"
124,"Week 124 description","Topic 124","Task list 124"
125,"Week 125 description","Topic 125","Task list 125"
126,"Week 126 description","Topic 126","Task list 126"
127,"Week 127 description","Topic 127","Task list 127"
128,"Week 128 description","Topic 128","Task list 128"
129,"Week 129 description","Topic 129","Task list 129"
130,"Week 130 description","Topic 130","Task list 130"
131,"Week 131 description","Topic 131","Task list 131"
132,"Week 132 description","Topic 132","Task list 132"
133,"Week 133 description","Topic 133","Task list 133"
134,"Week 134 description","Topic 134","Task list 134"
135,"Week 135 description","Topic 135","Task list 135"
136,"Week 136 description","Topic 136","Task list 136"
137,"Week 137 description","Topic 137","Task list 137"
138,"Week 138 description","Topic 138","Task list 138"
139,"Week 139 description","Topic 139","Task list 139"
140,"Week 140 description","Topic 140","Task list 140"
141,"Week 141 description","Topic 141","Task list 141"
142,"Week 142 description","Topic 142","Task list 142"
143,"Week 143 description","Topic 143","Task list 143"
144,"Week 144 description","Topic 144","Task list 144"
145,"Week 145 description","Topic 145","Task list 145"
146,"Week 146 description","Topic 146","Task list 146"
147,"Week 147 description","Topic 147","Task list 147"
148,"Week 148 description","Topic 148","Task list 148"
149,"Week 149 description","Topic 149","Task list 149"
150,"Week 150 description","Topic 150","Task list 150"

# Table: Course
id,name,deadlineIds,instructorIds
1,"Course 1",2,2
2,"Course 2",3,3
3,"Course 3",4,4
4,"Course 4",5,5
5,"Course 5",6,6
6,"Course 6",7,7
7,"Course 7",8,8
8,"Course 8",9,9
9,"Course 9",10,10
10,"Course 10",11,11
11,"Course 11",12,12
12,"Course 12",13,13
13,"Course 13",14,14
14,"Course 14",15,15
15,"Course 15",16,16
16,"Course 16",17,17
17,"Course 17",18,18
18,"Course 18",19,19
19,"Course 19",20,20
20,"Course 20",21,21
21,"Course 21",22,22
22,"Course 22",23,23
23,"Course 23",24,24
24,"Course 24",25,25
25,"Course 25",26,26
26,"Course 26",27,27
27,"Course 27",28,28
28,"Course 28",29,29
29,"Course 29",30,30
30,"Course 30",31,31
31,"Course 31",32,32
32,"Course 32",33,33
33,"Course 33",34,34
34,"Course 34",35,35
35,"Course 35",36,36
36,"Course 36",37,37
37,"Course 37",38,38
38,"Course 38",39,39
39,"Course 39",40,40
40,"Course 40",41,41
41,"Course 41",42,42
42,"Course 42",43,43
43,"Course 43",44,44
44,"Course 44",45,45
45,"Course 45",46,46
46,"Course 46",47,47
47,"Course 47",48,48
48,"Course 48",49,49
49,"Course 49",50,50
50,"Course 50",51,51
51,"Course 51",52,52
52,"Course 52",53,53
53,"Course 53",54,54
54,"Course 54",55,55
55,"Course 55",56,56
56,"Course 56",57,57
57,"Course 57",58,58
58,"Course 58",59,59
59,"Course 59",60,60
60,"Course 60",61,61
61,"Course 61",62,62
62,"Course 62",63,63
63,"Course 63",64,64
64,"Course 64",65,65
65,"Course 65",66,66
66,"Course 66",67,67
67,"Course 67",68,68
68,"Course 68",69,69
69,"Course 69",70,70
70,"Course 70",71,71
71,"Course 71",72,72
72,"Course 72",73,73
73,"Course 73",74,74
74,"Course 74",75,75
75,"Course 75",76,76
76,"Course 76",77,77
77,"Course 77",78,78
78,"Course 78",79,79
79,"Course 79",80,80
80,"Course 80",81,81
81,"Course 81",82,82
82,"Course 82",83,83
83,"Course 83",84,84
84,"Course 84",85,85
85,"Course 85",86,86
86,"Course 86",87,87
87,"Course 87",88,88
88,"Course 88",89,89
89,"Course 89",90,90
90,"Course 90",91,91
91,"Course 91",92,92
92,"Course 92",93,93
93,"Course 93",94,94
94,"Course 94",95,95
95,"Course 95",96,96
96,"Course 96",97,97
97,"Course 97",98,98
98,"Course 98",99,99
99,"Course 99",100,100
100,"Course 100",101,1
101,"Course 101",102,2
102,"Course 102",103,3
103,"Course 103",104,4
104,"Course 104",105,5
105,"Course 105",106,6
106,"Course 106",107,7
107,"Course 107",108,8
108,"Course 108",109,9
109,"Course 109",110,10
110,"Course 110",111,11
111,"Course 111",112,12
112,"Course 112",113,13
113,"Course 113",114,14
114,"Course 114",115,15
115,"Course 115",116,16
116,"Course 116",117,17
117,"Course 117",118,18
118,"Course 118",119,19
119,"Course 119",120,20
120,"Course 120",121,21
121,"Course 121",122,22
122,"Course 122",123,23
123,"Course 123",124,24
124,"Course 124",125,25
125,"Course 125",126,26
126,"Course 126",127,27
127,"Course 127",128,28
128,"Course 128",129,29
129,"Course 129",130,30
130,"Course 130",131,31
131,"Course 131",132,32
132,"Course 132",133,33
133,"Course 133",134,34
134,"Course 134",135,35
135,"Course 135",136,36
136,"Course 136",137,37
137,"Course 137",138,38
138,"Course 138",139,39
139,"Course 139",140,40
140,"Course 140",141,41
141,"Course 141",142,42
142,"Course 142",143,43
143,"Course 143",144,44
144,"Course 144",145,45
145,"Course 145",146,46
146,"Course 146",147,47
147,"Course 147",148,48
148,"Course 148",149,49
149,"Course 149",150,50
150,"Course 150",1,51

# Table: Review
id,name,description,userId,rating,time,date
1,"Review 1","Review description 1",2,5,2.7,2025-06-01
2,"Review 2","Review description 2",3,3,2.8,2025-06-02
3,"Review 3","Review description 3",4,4,3.9,2025-06-03
4,"Review 4","Review description 4",5,5,3.1,2025-06-04
5,"Review 5","Review description 5",6,2,2.7,2025-06-05
6,"Review 6","Review description 6",7,1,3.8,2025-06-06
7,"Review 7","Review description 7",8,3,4.2,2025-06-07
8,"Review 8","Review description 8",9,1,1.7,2025-06-08
9,"Review 9","Review description 9",10,1,3.5,2025-06-09
10,"Review 10","Review description 10",11,5,4.8,2025-06-10
11,"Review 11","Review description 11",12,5,1.8,2025-06-11
12,"Review 12","Review description 12",13,2,2.8,2025-06-12
13,"Review 13","Review description 13",14,3,4.4,2025-06-13
14,"Review 14","Review description 14",15,4,1.7,2025-06-14
15,"Review 15","Review description 15",16,4,2.8,2025-06-15
16,"Review 16","Review description 16",17,4,4.3,2025-06-16
17,"Review 17","Review description 17",18,5,2.9,2025-06-17
18,"Review 18","Review description 18",19,1,3.3,2025-06-18
19,"Review 19","Review description 19",20,5,4.3,2025-06-19
20,"Review 20","Review description 20",21,2,1.3,2025-06-20
21,"Review 21","Review description 21",22,1,2.7,2025-06-21
22,"Review 22","Review description 22",23,4,0.7,2025-06-22
23,"Review 23","Review description 23",24,3,4.9,2025-06-23
24,"Review 24","Review description 24",25,2,3.5,2025-06-24
25,"Review 25","Review description 25",26,4,3.2,2025-06-25
26,"Review 26","Review description 26",27,5,3.2,2025-06-26
27,"Review 27","Review description 27",28,3,2.6,2025-06-27
28,"Review 28","Review description 28",29,5,2.4,2025-05-31
29,"Review 29","Review description 29",30,4,1.4,2025-06-01
30,"Review 30","Review description 30",31,4,2.8,2025-06-02
31,"Review 31","Review description 31",32,1,3.5,2025-06-03
32,"Review 32","Review description 32",33,2,2.4,2025-06-04
33,"Review 33","Review description 33",34,3,2.0,2025-06-05
34,"Review 34","Review description 34",35,3,0.7,2025-06-06
35,"Review 35","Review description 35",36,1,0.8,2025-06-07
36,"Review 36","Review description 36",37,5,3.6,2025-06-08
37,"Review 37","Review description 37",38,4,1.5,2025-06-09
38,"Review 38","Review description 38",39,3,2.3,2025-06-10
39,"Review 39","Review description 39",40,2,4.9,2025-06-11
40,"Review 40","Review description 40",41,2,2.0,2025-06-12
41,"Review 41","Review description 41",42,2,2.0,2025-06-13
42,"Review 42","Review description 42",43,1,4.0,2025-06-14
43,"Review 43","Review description 43",44,4,1.0,2025-06-15
44,"Review 44","Review description 44",45,2,1.4,2025-06-16
45,"Review 45","Review description 45",46,3,1.7,2025-06-17
46,"Review 46","Review description 46",47,5,0.6,2025-06-18
47,"Review 47","Review description 47",48,1,3.3,2025-06-19
48,"Review 48","Review description 48",49,5,4.5,2025-06-20
49,"Review 49","Review description 49",50,5,0.8,2025-06-21
50,"Review 50","Review description 50",51,4,3.0,2025-06-22
51,"Review 51","Review description 51",52,3,1.5,2025-06-23
52,"Review 52","Review description 52",53,1,3.3,2025-06-24
53,"Review 53","Review description 53",54,5,4.5,2025-06-25
54,"Review 54","Review description 54",55,4,2.1,2025-06-26
55,"Review 55","Review description 55",56,5,3.5,2025-06-27
56,"Review 56","Review description 56",57,2,2.4,2025-05-31
57,"Review 57","Review description 57",58,4,3.3,2025-06-01
58,"Review 58","Review description 58",59,3,1.0,2025-06-02
59,"Review 59","Review description 59",60,1,2.9,2025-06-03
60,"Review 60","Review description 60",61,1,2.7,2025-06-04
61,"Review 61","Review description 61",62,5,3.5,2025-06-05
62,"Review 62","Review description 62",63,1,1.9,2025-06-06
63,"Review 63","Review description 63",64,4,1.3,2025-06-07
64,"Review 64","Review description 64",65,3,4.4,2025-06-08
65,"Review 65","Review description 65",66,2,1.3,2025-06-09
66,"Review 66","Review description 66",67,5,1.1,2025-06-10
67,"Review 67","Review description 67",68,2,4.9,2025-06-11
68,"Review 68","Review description 68",69,1,1.3,2025-06-12
69,"Review 69","Review description 69",70,2,1.0,2025-06-13
70,"Review 70","Review description 70",71,5,2.9,2025-06-14
71,"Review 71","Review description 71",72,1,4.1,2025-06-15
72,"Review 72","Review description 72",73,5,4.4,2025-06-16
73,"Review 73","Review description 73",74,5,2.2,2025-06-17
74,"Review 74","Review description 74",75,1,1.4,2025-06-18
75,"Review 75","Review description 75",76,5,2.2,2025-06-19
76,"Review 76","Review description 76",77,3,4.0,2025-06-20
77,"Review 77","Review description 77",78,4,2.2,2025-06-21
78,"Review 78","Review description 78",79,1,3.7,2025-06-22
79,"Review 79","Review description 79",80,3,3.3,2025-06-23
80,"Review 80","Review description 80",81,1,1.6,2025-06-24
81,"Review 81","Review description 81",82,4,4.3,2025-06-25
82,"Review 82","Review description 82",83,1,1.4,2025-06-26
83,"Review 83","Review description 83",84,5,1.9,2025-06-27
84,"Review 84","Review description 84",85,1,3.5,2025-05-31
85,"Review 85","Review description 85",86,1,2.8,2025-06-01
86,"Review 86","Review description 86",87,1,0.5,2025-06-02
87,"Review 87","Review description 87",88,5,3.9,2025-06-03
88,"Review 88","Review description 88",89,3,3.4,2025-06-04
89,"Review 89","Review description 89",90,4,3.9,2025-06-05
90,"Review 90","Review description 90",91,1,4.4,2025-06-06
91,"Review 91","Review description 91",92,4,1.0,2025-06-07
92,"Review 92","Review description 92",93,4,1.5,2025-06-08
93,"Review 93","Review description 93",94,5,2.5,2025-06-09
94,"Review 94","Review description 94",95,4,4.4,2025-06-10
95,"Review 95","Review description 95",96,2,2.3,2025-06-11
96,"Review 96","Review description 96",97,1,3.5,2025-06-12
97,"Review 97","Review description 97",98,5,1.5,2025-06-13
98,"Review 98","Review description 98",99,1,1.5,2025-06-14
99,"Review 99","Review description 99",100,2,1.0,2025-06-15
100,"Review 100","Review description 100",101,4,3.4,2025-06-16
101,"Review 101","Review description 101",102,5,3.9,2025-06-17
102,"Review 102","Review description 102",103,2,4.9,2025-06-18
103,"Review 103","Review description 103",104,2,1.4,2025-06-19
104,"Review 104","Review description 104",105,5,3.0,2025-06-20
105,"Review 105","Review description 105",106,2,2.9,2025-06-21
106,"Review 106","Review description 106",107,5,4.8,2025-06-22
107,"Review 107","Review description 107",108,1,2.1,2025-06-23
108,"Review 108","Review description 108",109,1,2.6,2025-06-24
109,"Review 109","Review description 109",110,4,4.9,2025-06-25
110,"Review 110","Review description 110",111,1,4.7,2025-06-26
111,"Review 111","Review description 111",112,1,1.4,2025-06-27
112,"Review 112","Review description 112",113,4,2.3,2025-05-31
113,"Review 113","Review description 113",114,3,3.5,2025-06-01
114,"Review 114","Review description 114",115,4,3.4,2025-06-02
115,"Review 115","Review description 115",116,5,3.9,2025-06-03
116,"Review 116","Review description 116",117,2,2.4,2025-06-04
117,"Review 117","Review description 117",118,1,4.2,2025-06-05
118,"Review 118","Review description 118",119,1,1.8,2025-06-06
119,"Review 119","Review description 119",120,5,1.3,2025-06-07
120,"Review 120","Review description 120",121,2,1.2,2025-06-08
121,"Review 121","Review description 121",122,2,2.6,2025-06-09
122,"Review 122","Review description 122",123,3,3.4,2025-06-10
123,"Review 123","Review description 123",124,2,1.6,2025-06-11
124,"Review 124","Review description 124",125,4,0.6,2025-06-12
125,"Review 125","Review description 125",126,5,3.3,2025-06-13
126,"Review 126","Review description 126",127,4,3.5,2025-06-14
127,"Review 127","Review description 127",128,4,0.8,2025-06-15
128,"Review 128","Review description 128",129,2,2.4,2025-06-16
129,"Review 129","Review description 129",130,3,0.9,2025-06-17
130,"Review 130","Review description 130",131,4,3.0,2025-06-18
131,"Review 131","Review description 131",132,3,4.0,2025-06-19
132,"Review 132","Review description 132",133,4,2.7,2025-06-20
133,"Review 133","Review description 133",134,4,4.7,2025-06-21
134,"Review 134","Review description 134",135,2,2.3,2025-06-22
135,"Review 135","Review description 135",136,2,4.5,2025-06-23
136,"Review 136","Review description 136",137,5,1.3,2025-06-24
137,"Review 137","Review description 137",138,4,4.2,2025-06-25
138,"Review 138","Review description 138",139,4,4.5,2025-06-26
139,"Review 139","Review description 139",140,5,4.2,2025-06-27
140,"Review 140","Review description 140",141,1,3.8,2025-05-31
141,"Review 141","Review description 141",142,2,3.6,2025-06-01
142,"Review 142","Review description 142",143,3,3.8,2025-06-02
143,"Review 143","Review description 143",144,4,1.0,2025-06-03
144,"Review 144","Review description 144",145,2,2.4,2025-06-04
145,"Review 145","Review description 145",146,4,2.3,2025-06-05
146,"Review 146","Review description 146",147,2,1.1,2025-06-06
147,"Review 147","Review description 147",148,2,4.6,2025-06-07
148,"Review 148","Review description 148",149,2,0.8,2025-06-08
149,"Review 149","Review description 149",150,5,0.7,2025-06-09
150,"Review 150","Review description 150",1,2,2.0,2025-06-10

# Table: Specialization
id,name,type,description
1,"Specialization 1",Arts,"Description for specialization 1"
2,"Specialization 2",Business,"Description for specialization 2"
3,"Specialization 3",Technology,"Description for specialization 3"
4,"Specialization 4",Mathematics,"Description for specialization 4"
5,"Specialization 5",Science,"Description for specialization 5"
6,"Specialization 6",Arts,"Description for specialization 6"
7,"Specialization 7",Business,"Description for specialization 7"
8,"Specialization 8",Technology,"Description for specialization 8"
9,"Specialization 9",Mathematics,"Description for specialization 9"
10,"Specialization 10",Science,"Description for specialization 10"
11,"Specialization 11",Arts,"Description for specialization 11"
12,"Specialization 12",Business,"Description for specialization 12"
13,"Specialization 13",Technology,"Description for specialization 13"
14,"Specialization 14",Mathematics,"Description for specialization 14"
15,"Specialization 15",Science,"Description for specialization 15"
16,"Specialization 16",Arts,"Description for specialization 16"
17,"Specialization 17",Business,"Description for specialization 17"
18,"Specialization 18",Technology,"Description for specialization 18"
19,"Specialization 19",Mathematics,"Description for specialization 19"
20,"Specialization 20",Science,"Description for specialization 20"
21,"Specialization 21",Arts,"Description for specialization 21"
22,"Specialization 22",Business,"Description for specialization 22"
23,"Specialization 23",Technology,"Description for specialization 23"
24,"Specialization 24",Mathematics,"Description for specialization 24"
25,"Specialization 25",Science,"Description for specialization 25"
26,"Specialization 26",Arts,"Description for specialization 26"
27,"Specialization 27",Business,"Description for specialization 27"
28,"Specialization 28",Technology,"Description for specialization 28"
29,"Specialization 29",Mathematics,"Description for specialization 29"
30,"Specialization 30",Science,"Description for specialization 30"
31,"Specialization 31",Arts,"Description for specialization 31"
32,"Specialization 32",Business,"Description for specialization 32"
33,"Specialization 33",Technology,"Description for specialization 33"
34,"Specialization 34",Mathematics,"Description for specialization 34"
35,"Specialization 35",Science,"Description for specialization 35"
36,"Specialization 36",Arts,"Description for specialization 36"
37,"Specialization 37",Business,"Description for specialization 37"
38,"Specialization 38",Technology,"Description for specialization 38"
39,"Specialization 39",Mathematics,"Description for specialization 39"
40,"Specialization 40",Science,"Description for specialization 40"
41,"Specialization 41",Arts,"Description for specialization 41"
42,"Specialization 42",Business,"Description for specialization 42"
43,"Specialization 43",Technology,"Description for specialization 43"
44,"Specialization 44",Mathematics,"Description for specialization 44"
45,"Specialization 45",Science,"Description for specialization 45"
46,"Specialization 46",Arts,"Description for specialization 46"
47,"Specialization 47",Business,"Description for specialization 47"
48,"Specialization 48",Technology,"Description for specialization 48"
49,"Specialization 49",Mathematics,"Description for specialization 49"
50,"Specialization 50",Science,"Description for specialization 50"
51,"Specialization 51",Arts,"Description for specialization 51"
52,"Specialization 52",Business,"Description for specialization 52"
53,"Specialization 53",Technology,"Description for specialization 53"
54,"Specialization 54",Mathematics,"Description for specialization 54"
55,"Specialization 55",Science,"Description for specialization 55"
56,"Specialization 56",Arts,"Description for specialization 56"
